ID,half_life
1820,78.77538896
1821,NA
1822,60.29191999
1824,NA
1825,6.329835932
1826,81.13169741
1828,111.0182623
1829,44.52285845
1830,NA
1832,127.361485
1833,138.5737593
1834,54.48245975
1835,9.197330049
1836,15.89379199
1837,8.438826918
1839,NA
1841,10.01478868
1842,NA
1843,112.0869897
1844,111.9153921
1845,12.77739513
1846,NA
1847,NA
1850,NA
1851,74.97238983
1852,NA
1853,12.94133336
1855,234.8473076
1856,5.315089948
1857,88.05322821
1858,6.486850999
1859,NA
1860,13.18653574
1861,NA
1862,150.4428629
1863,NA
1864,69.34605135
1865,26.46625296
1866,206.2571298
1867,23.37952521
1868,83.34177173
1870,NA
1871,4.08517147
1872,42.39217172
1873,NA
1874,24.74911037
1875,19.52289512
1876,86.18197994
1877,NA
1878,NA
1879,5.309075466
1880,54.40935306
1882,54.23061743
1883,44.48660596
1884,67.85304494
1885,NA
1886,245.3874583
1887,NA
1888,130.8483531
1889,NA
1890,78.84047187
1892,154.4363591
1893,143.1073041
1894,NA
1896,61.0504017
1897,42.42025339
1898,NA
1900,NA
1901,19.88441572
1902,NA
1903,NA
1905,NA
1906,NA
1907,86.31719777
1908,226.0054428
1909,62.42701251
1911,49.29445702
1912,134.0307668
1913,NA
1914,10.21791474
1915,NA
1916,259.6124633
1917,118.9293307
1918,NA
1920,143.6005733
1922,NA
1923,NA
1924,146.1932937
1925,53.10142288
1926,121.5454906
1927,5.099485061
1928,35.53523597
1929,NA
1930,6.543702565
1931,NA
1934,NA
1935,NA
1936,209.1768475
1937,NA
1938,52.65428748
1939,115.8478843
1940,29.58047186
1941,24.24978274
1942,NA
1943,53.54642679
1944,NA
1946,132.4386675
1947,83.04070772
1948,10.38687048
1949,NA
1951,18.62515444
1952,NA
1953,NA
1954,175.1815602
1955,NA
1956,56.99938628
1957,77.68476545
1958,23.26103667
1959,49.60876053
1960,117.6123821
1961,190.5425528
1962,51.327907
1963,31.98383628
1964,NA
1965,69.5493305
1966,NA
1967,NA
1968,NA
1969,26.27931831
1971,265.5062237
1972,NA
1973,NA
1975,NA
1976,NA
1979,NA
1980,NA
1981,63.41557545
1982,NA
1984,NA
1985,212.3239023
1986,39.84911449
1987,NA
1988,193.3055042
1989,48.39004875
1991,47.95565074
1992,46.26110211
1993,4.18129807
1994,NA
1995,13.02631854
1996,7.361727358
1997,6.46483037
1998,5.208362489
2000,9.783850812
2001,158.5623781
2003,NA
2004,69.89117528
2005,135.7801153
2006,10.08330486
2007,94.8017884
2008,NA
2009,NA
2010,168.492218
2011,2.864026771
2012,NA
2013,NA
2014,NA
2015,NA
2016,147.3555991
2017,NA
2019,43.27977135
2020,121.1508784
2021,7.892960037
2022,35.29648126
2023,NA
2025,145.7755925
2026,18.54469467
2027,179.8946679
2028,44.09345089
2029,NA
2030,37.37783688
2031,74.28063583
2032,NA
2033,32.41056248
2034,NA
2036,NA
2037,40.65555352
2038,4.785137307
2039,NA
2040,68.84709735
2041,198.383915
2042,NA
2043,40.08692791
2044,141.0589259
2045,3.569991037
2046,86.7232627
2047,NA
2048,222.342572
2050,103.6484332
2051,NA
2052,NA
2053,NA
2054,NA
2055,30.88623546
2056,58.39123066
2057,126.8121112
2058,197.7585434
2060,NA
2062,86.48932871
2064,44.063214
2065,76.80279398
2066,55.4556446
2067,NA
2068,140.1067934
2069,38.59643995
2070,69.48867147
2071,62.88840944
2072,13.31397761
2073,89.94921647
2074,14.52165529
2075,232.995192
2076,193.8503057
2077,23.99700397
2078,66.6191716
2079,NA
2080,128.5310182
2081,10.66260912
2082,13.88201183
2083,93.54113787
2084,14.72071443
2085,95.73842064
2086,179.1319958
2087,232.478885
2088,35.28039233
2089,33.26003068
2090,143.9697617
2091,11.98145702
2092,7.712293671
2093,10.52395016
2095,NA
2097,13.46349879
2098,144.6122562
2100,188.9501129
2101,156.7154222
2102,28.52468877
2103,9.682102913
2104,59.41037065
2105,NA
2106,42.64576936
2107,65.97619895
2108,NA
2109,39.92458678
2110,211.151555
2111,229.6917764
2112,3.718200368
2113,NA
2114,259.2784379
2115,131.1394699
2116,209.3458088
2117,NA
2118,NA
2119,27.41452475
2121,164.6081876
2122,NA
2123,NA
2124,199.1968422
2125,143.0859162
2126,NA
2127,116.4324252
2128,NA
2129,38.81872343
2130,NA
2131,30.35232885
2132,171.7080985
2133,16.90740262
2134,274.1674001
2135,173.4271687
2136,NA
2139,249.0490892
2140,51.14180617
2141,194.1854918
2142,NA
2143,NA
2144,121.0566809
2145,35.33767011
2148,98.57073885
2149,309.9660569
2150,NA
2151,NA
2153,NA
2154,NA
2156,15.72735159
2157,210.2054236
2158,49.17423688
2162,NA
2164,293.1322473
2165,6.550884858
2166,NA
2168,NA
2169,191.7471489
2170,190.7311707
2171,35.83555103
2172,232.7916614
2173,NA
2175,65.9207996
2176,38.31826939
2177,NA
2179,18.24593591
2181,NA
2182,60.80010999
2183,4.816099993
2185,2.943449769
2186,NA
2189,6.037896768
2190,197.7063735
2191,NA
2192,12.19353763
2194,60.06101163
2195,72.38304748
2196,15.38779482
2197,NA
2198,NA
2199,NA
2201,NA
2202,54.8690819
2203,NA
2204,NA
2205,NA
